system_prompt,sample_question,sample_answer
You are helpful assistant that knows a lot of differenet facts about the world,how many universities are in the united states,Educational standards and standardized testing decisions are usually made by state governments.
You are helpful assistant that knows a lot of differenet facts about the world,what is the oath of allegiance of the united states,"As a result, some have suggested much of the language is antiquated and confusing."
You are helpful assistant that knows a lot of differenet facts about the world,Who Were the Anti Federalist,"In every state the opposition to the Constitution was strong, and in two states — North Carolina and Rhode Island — it prevented ratification until the definite establishment of the new government practically forced their adherence."
You are helpful assistant that knows a lot of differenet facts about the world,what does continuous improvement mean,"Some see CIPs as a meta-process for most management systems (such as business process management , quality management , project management , and program management )."
You are helpful assistant that knows a lot of differenet facts about the world,WHAT ARE HERITABLE TRAITS,"For instance, some humans in a population are taller than others; heritability attempts to identify how much genetics are playing a role in part of the population being extra tall."
You are helpful assistant that knows a lot of differenet facts about the world,how hard is it to weld a 2 inch schedule 80 pipe,"Both ""pipe"" and ""tube"" imply a level of rigidity and permanence, whereas a hose (or hosepipe) is usually portable and flexible."
You are helpful assistant that knows a lot of differenet facts about the world,how old r Dylan and Cole Sprouse,"Dylan and Cole were two of the wealthiest children alive in 2007, and in 2010, the Sprouse brothers were the highest paid teenage Disney television actors, earning $40,000 per episode combined."
You are helpful assistant that knows a lot of differenet facts about the world,what is the difference between notary public and commissioner of deeds,Any such act is known as a notarization.
You are helpful assistant that knows a lot of differenet facts about the world,when did ww1 end?,"These alliances were both reorganised and expanded as more nations entered the war: Italy, Japan and the United States joined the Allies, and the Ottoman Empire and Bulgaria the Central Powers."
You are helpful assistant that knows a lot of differenet facts about the world,who set the world record for women for high jump,"Over the centuries since, competitors have introduced increasingly more effective techniques to arrive at the current form."
You are helpful assistant that knows a lot of differenet facts about the world,when was How the west was won filmed?,Popular western author Louis L'Amour wrote a novelization of the screenplay.
You are helpful assistant that knows a lot of differenet facts about the world,when does season 3 us of tara come on?,Collette won the 2009 Primetime Emmy Award and 2010 Golden –_Television_Series_Musical_or_Comedy Globe –_Television_Series_Musical_or_Comedy Award –_Television_Series_Musical_or_Comedy for Best Actress in a Comedy Series for her role; the opening title sequence also won an Emmy.
You are helpful assistant that knows a lot of differenet facts about the world,who did cy young play for,"During his 22-year baseball career (1890–1911), he pitched for five different teams."
You are helpful assistant that knows a lot of differenet facts about the world,what is the name of the movie with lark voorhies and her best friends,"She also portrayed the role as a regular on Good Morning, Miss Bliss ."
You are helpful assistant that knows a lot of differenet facts about the world,where is al jazeera based,"Until 2011, Al Jazeera was owned by the government of Qatar."
You are helpful assistant that knows a lot of differenet facts about the world,what percentage of water in in the body,"Arthur Guyton 's Textbook of Medical Physiology states that ""the total amount of water in a man of average weight (70 kilograms) is approximately 40 litres, averaging 57 percent of his total body weight."
You are helpful assistant that knows a lot of differenet facts about the world,how old was sue lyon when she made lolita,"Kubrick later commented that, had he realized how severe the censorship limitations were going to be, he probably never would have made the film."
You are helpful assistant that knows a lot of differenet facts about the world,when did 311 make Amber,Their 2004 compilation album Greatest Hits '93–'03 was also certified gold.
You are helpful assistant that knows a lot of differenet facts about the world,when did roth iras start,"A Roth IRA ( Individual Retirement Arrangement ) is a special type of retirement plan under US law that is generally not taxed, provided certain conditions are met."
You are helpful assistant that knows a lot of differenet facts about the world,where is La Palma africa,"The total population is about 86,000, of which 18,000 (2003 data) live in the capital, Santa Cruz de la Palma and about 20,000 (2004 data) in Los Llanos de Aridane ."
You are helpful assistant that knows a lot of differenet facts about the world,where does angela davis currently work,Her membership in the Communist Party led to Ronald Reagan 's request in 1969 to have her barred from teaching at any university in the State of California.
You are helpful assistant that knows a lot of differenet facts about the world,Who created the Duomo in Florence?,Italian cathedrals are often highly decorated and contain notable artworks; in many cases the buildings themselves are true artworks.
You are helpful assistant that knows a lot of differenet facts about the world,how can something taste good to one person,"The sensation of taste can be categorized into five basic tastes: sweetness , sourness , saltiness , bitterness , and umami ."
You are helpful assistant that knows a lot of differenet facts about the world,what is an example of a chemical reaction that absorbs heat?,"Chemical reactions are described with chemical equations , which graphically present the starting materials, end products, and sometimes intermediate products and reaction conditions."
You are helpful assistant that knows a lot of differenet facts about the world,where were the biggest base camps from world war two located,"It is home to the 3rd Battalion, 126th Aviation ."
You are helpful assistant that knows a lot of differenet facts about the world,how large were early jails,"As well as convicted or suspected criminals, prisons may be used for internment of those not charged with a crime."
You are helpful assistant that knows a lot of differenet facts about the world,what is brown flax,"As well, flax fibers are naturally smooth and straight."
You are helpful assistant that knows a lot of differenet facts about the world,how many mvps has kobe bryant won,A heated feud between the duo and a loss in the 2004 NBA Finals was followed by O'Neal's trade from the Lakers after the 2003–04 season .
You are helpful assistant that knows a lot of differenet facts about the world,what year did isaac newton die,Sir Isaac Newton (25 December 164220 March 1727) was an English physicist and mathematician who is widely regarded as one of the most influential scientists of all time and as a key figure in the scientific revolution .
You are helpful assistant that knows a lot of differenet facts about the world,what percent of school shootings commit suicide?,"Sati , a now outlawed Hindu funeral practice, expected the widow to immolate herself on her husband's funeral pyre, either willingly or under pressure from the family and society."
You are helpful assistant that knows a lot of differenet facts about the world,what year was the eiffel tower made,"The walk from ground level to the first level is over 300 steps, as is the walk from the first to the second level."
You are helpful assistant that knows a lot of differenet facts about the world,where do crocodiles live,"All reptiles , with the exception of Testudines , are all scaled diapsids , but crocodilians are archosaurs , which means they are genetically closer to birds and the extinct dinosaurs , than other reptiles are."
You are helpful assistant that knows a lot of differenet facts about the world,how many bass species are there,The sport has changed drastically since its beginnings in the late 19th century.
You are helpful assistant that knows a lot of differenet facts about the world,what was fdr's new deal,"The realignment crystallized into the New Deal Coalition that dominated most presidential elections into the 1960s, while the opposition Conservative Coalition largely controlled Congress from 1937 to 1963."
You are helpful assistant that knows a lot of differenet facts about the world,what is the little metal piece attached to my rim,"For example, on a bicycle wheel the rim is a large hoop attached to the outer ends of the spokes of the wheel that holds the tire and tube."
You are helpful assistant that knows a lot of differenet facts about the world,how do you get a michelin star?,"There is also a Red Guide encompassing the ""Main Cities of Europe."""
You are helpful assistant that knows a lot of differenet facts about the world,what is google openid,OpenID authentication is now used and provided by several large websites.
You are helpful assistant that knows a lot of differenet facts about the world,what types of plate boundaries exist,"On Earth, there are seven or eight major plates (depending on how they are defined) and many minor plates."
You are helpful assistant that knows a lot of differenet facts about the world,what is a google in math,"The term was coined in 1938 by 9-year-old Milton Sirotta, nephew of American mathematician Edward Kasner ."
You are helpful assistant that knows a lot of differenet facts about the world,what is the measurements of saturn's moons,"The rings of Saturn are made up of objects ranging in size from microscopic to hundreds of meters, each of which is on its own orbit about the planet."
You are helpful assistant that knows a lot of differenet facts about the world,where is setting for lemony snicket,"Snicket is the subject of a fictional autobiography, Lemony Snicket: The Unauthorized Autobiography (which contains an introduction from a fictionalized version of Daniel Handler)."
You are helpful assistant that knows a lot of differenet facts about the world,What is a 28 day cycle?,"It is also occasionally misclassified using the uterine cycle: menstruation , proliferative phase, and secretory phase."
You are helpful assistant that knows a lot of differenet facts about the world,what kind of checks (payment) are acceptable at schools?,"Technically, a cheque is a negotiable instrument instructing a financial institution to pay a specific amount of a specific currency from a specified transactional account held in the drawer's name with that institution."
You are helpful assistant that knows a lot of differenet facts about the world,what studio produced annie,"Set during the Great Depression , the film tells the story of Annie, a mischievous orphan from New York City who is taken in by America's richest billionaire Oliver Warbucks."
You are helpful assistant that knows a lot of differenet facts about the world,how did david carradine die,He was also frequently arrested and prosecuted for a variety of offenses which often involved substance abuse.
You are helpful assistant that knows a lot of differenet facts about the world,where were dwarves in lord of the rings,"The story began as a sequel to Tolkien's 1937 children's fantasy novel The Hobbit , but eventually developed into a much larger work."
You are helpful assistant that knows a lot of differenet facts about the world,how many amendments in us,"It went into effect on March 4, 1789."
You are helpful assistant that knows a lot of differenet facts about the world,what are land parcels,Parcel may refer to:
You are helpful assistant that knows a lot of differenet facts about the world,what is north korea size,"A United Nations –supervised election held in 1948 led to the creation of separate Korean governments for the two occupation zones: the Democratic People's Republic of Korea in the north, and the Republic of Korea in the south."
You are helpful assistant that knows a lot of differenet facts about the world,how many countries are in north America,This is an alphabetical list of sovereign states and dependent territories in North America .
You are helpful assistant that knows a lot of differenet facts about the world,when did texas become a state,"Mexico controlled the territory until 1836 when Texas won its independence, becoming an independent Republic ."
You are helpful assistant that knows a lot of differenet facts about the world,how many employees does Chase have,"The J.P. Morgan brand, historically known as Morgan, is used by the investment banking as well as the asset management , private banking , private wealth management and treasury & securities services divisions."
You are helpful assistant that knows a lot of differenet facts about the world,what is name of national anthem song of switzerland,The Federal Council declined however on numerous occasions to accept the psalm as the official anthem.
You are helpful assistant that knows a lot of differenet facts about the world,what is rebecca by daphne du maurier about,Rebecca is considered to be one of her best works and is regarded as a modern classic.
You are helpful assistant that knows a lot of differenet facts about the world,Who created the Duomo in Florence?,Therefore the uniform translation of these terms into English as cathedrals may not always be appropriate and should be used on a contextual basis.
You are helpful assistant that knows a lot of differenet facts about the world,what causes a small bowel obstruction,The condition is often treated conservatively over a period of 2–5 days with the patient's progress regularly monitored by an assigned physician.
You are helpful assistant that knows a lot of differenet facts about the world,What car was used in Ferris Bueller's day off,"Released by Paramount Pictures on June 11, 1986, Ferris Bueller's Day Off became one of the top grossing films of the year and was enthusiastically received by critics and audiences alike."
You are helpful assistant that knows a lot of differenet facts about the world,what does gloria in excelsis deo mean,200px
You are helpful assistant that knows a lot of differenet facts about the world,what is the difference between notary public and commissioner of deeds,"A notary public (or notary or public notary) in the common law world is a public officer constituted by law to serve the public in non-contentious matters usually concerned with estates, deeds, powers-of-attorney, and foreign and international business."
You are helpful assistant that knows a lot of differenet facts about the world,WHERE IS VILLAGE IN NEW YORK,"The name of the village is Anglicized from the Dutch name Greenwijck, meaning ""Pine District"", into Greenwich , a borough of London ."
You are helpful assistant that knows a lot of differenet facts about the world,what is the minimum age requirement to work at fred meyers,"or, more simply, What's on your list today?"
You are helpful assistant that knows a lot of differenet facts about the world,how tall Russian President Dmitry Medvedev,Medvedev's political career began as the election campaign manager and later an adviser of St. Petersburg Mayor Anatoly Sobchak .
You are helpful assistant that knows a lot of differenet facts about the world,WHAT IS A FY QUARTER,"Nevertheless, the fiscal year is identical to the calendar year for about 65% of publicly traded companies in the United States and for a majority of large corporations in the UK and elsewhere (with notable exceptions Australia, New Zealand and Japan)."
You are helpful assistant that knows a lot of differenet facts about the world,what were 3 important things that douglas MacArthur did?,"He was one of only five men ever to rise to the rank of General of the Army in the U.S. Army, and the only man ever to become a field marshal in the Philippine Army."
You are helpful assistant that knows a lot of differenet facts about the world,how many chinese fought in korean war,Cross-border skirmishes and raids at the 38th Parallel persisted.
You are helpful assistant that knows a lot of differenet facts about the world,how can i open a usda slaughterhouse,"In the European Union, the annual figure is 300 million cattle , sheep , and pigs , and four billion (an unverified number) chickens ."
You are helpful assistant that knows a lot of differenet facts about the world,what are circumpolar constellations,"Also, its altitude for a given place is fixed and its value is given by the following formula: A = 90-Ø."
You are helpful assistant that knows a lot of differenet facts about the world,What killed Frank Sinatra?,"Francis Albert ""Frank"" Sinatra, , (December 12, 1915 – May 14, 1998) was an American singer and film actor."
You are helpful assistant that knows a lot of differenet facts about the world,What band will at&t 4g network be on?,"LTE, an initialism of long-term evolution, marketed as 4G LTE, is a standard for wireless communication of high-speed data for mobile phones and data terminals."
You are helpful assistant that knows a lot of differenet facts about the world,what songs does marc anthony sing in english,The two-time Grammy and three-time Latin Grammy –winner has sold more than 12 million albums worldwide.
You are helpful assistant that knows a lot of differenet facts about the world,how many humps on a camel,"A camel is an even-toed ungulate within the genus Camelus, bearing distinctive fatty deposits known as ""humps"" on its back."
You are helpful assistant that knows a lot of differenet facts about the world,when did texas become a state,"The ""Lone Star"" can be found on the Texas state flag and on the Texas state seal today."
You are helpful assistant that knows a lot of differenet facts about the world,what is the life span of June bugs,June bug or Junebug may refer to:
You are helpful assistant that knows a lot of differenet facts about the world,what type of disability does mikey of occ have?,"He was a major and popular part of the show and used to appear at promotional events for OCC. Michael has joined his brother, Paul Jr., and other former OCC employees in Paul Jr.'s post-OCC business venture, Paul Jr. Designs ."
You are helpful assistant that knows a lot of differenet facts about the world,how is cia headquarters protected,"The CIA succeeded the Office of Strategic Services (OSS), formed during World War II to coordinate secret espionage activities against the Axis Powers for the branches of the United States Armed Forces ."
You are helpful assistant that knows a lot of differenet facts about the world,how did romeo and juliet die,"In the 20th century the play has been adapted in versions as diverse as George Cukor 's comparatively faithful 1936 production , Franco Zeffirelli 's 1968 version , and Baz Luhrmann 's 1996 MTV-inspired Romeo + Juliet ."
You are helpful assistant that knows a lot of differenet facts about the world,how many chinese fought in korean war,"From a military science perspective, it combined strategies and tactics of World War I and World War II: it began with a mobile campaign of swift infantry attacks followed by air bombing raids, but became a static trench war by July 1951."
You are helpful assistant that knows a lot of differenet facts about the world,who make airbus,"Final assembly production is based at Toulouse , France; Hamburg , Germany; Seville , Spain; and, since 2009, Tianjin , China ."
You are helpful assistant that knows a lot of differenet facts about the world,how is cia headquarters protected,"Intelligence-gathering is performed by non-military commissioned civilian intelligence agents, many of whom are trained to avoid tactical situations."
You are helpful assistant that knows a lot of differenet facts about the world,where do crocodiles live,"Another obvious trait is the upper and lower jaws of the crocodiles are the same width, and teeth in the lower jaw fall along the edge or outside the upper jaw when the mouth is closed; therefore all teeth are visible unlike an alligator; which possesses small depressions in the upper jaw where the lower teeth fit into."
You are helpful assistant that knows a lot of differenet facts about the world,where in oregon is albany,"It is located in the Willamette Valley at the confluence of the Calapooia River and the Willamette River in both Linn and Benton counties, just east of Corvallis and south of Salem ."
You are helpful assistant that knows a lot of differenet facts about the world,what are there alpine skiing events,"The snow is groomed, avalanches are controlled and trees are cut to create trails."
You are helpful assistant that knows a lot of differenet facts about the world,Who created the Duomo in Florence?,Duomo is a term for a cathedral church.
You are helpful assistant that knows a lot of differenet facts about the world,how many square miles in great britain,"After the Irish War of Independence (1919–1921) most of Ireland seceded from the Union, which then became the United Kingdom of Great Britain and Northern Ireland."
You are helpful assistant that knows a lot of differenet facts about the world,what are federal regulations on flex spending money,"Money deducted from an employee's pay into an FSA is not subject to payroll taxes , resulting in substantial payroll tax savings."
You are helpful assistant that knows a lot of differenet facts about the world,how many shows are filmed in a season for jersey shore,The University of Chicago and the University of Oklahoma are among the educational institutions that have had classes or conferences about the show.
You are helpful assistant that knows a lot of differenet facts about the world,"What region do the ohio river,big sandy river and tug fork river border","The Big Sandy River is a tributary of the Ohio River , approximately long, in western West Virginia and northeastern Kentucky in the United States ."
You are helpful assistant that knows a lot of differenet facts about the world,what was fdr's new deal,"Top left: The Tennessee Valley Authority , part of the New Deal, being signed into law in 1933."
You are helpful assistant that knows a lot of differenet facts about the world,how did david carradine die,"Influenced by his most popular acting role, he studied martial arts ."
You are helpful assistant that knows a lot of differenet facts about the world,where is big pokey from,Big Pokey joined up with DJ Screw in the early 1990s and started releasing songs on DJ Screw's many mixtapes .
You are helpful assistant that knows a lot of differenet facts about the world,what is the minimum age requirement to work at fred meyers,"For a number of years, the company has used the marketing slogan What's on your list today?"
You are helpful assistant that knows a lot of differenet facts about the world,what is a google in math,"Edward Kasner used it to illustrate the difference between an unimaginably large number and infinity , and in this role it is sometimes used in teaching mathematics."
You are helpful assistant that knows a lot of differenet facts about the world,where did stereotypes originate?,"A stereotype is a thought that may be adopted about specific types of individuals or certain ways of doing things, but that belief may or may not accurately reflect reality ."
You are helpful assistant that knows a lot of differenet facts about the world,Where Elephants Live,Calves are the centre of attention in their family groups and rely on their mothers for as long as three years.
You are helpful assistant that knows a lot of differenet facts about the world,how many digits long is visa,"Payment card numbers are found on payment cards , such as credit cards and debit cards , as well as stored-value cards , gift cards and other similar cards."
You are helpful assistant that knows a lot of differenet facts about the world,WHERE IS VILLAGE IN NEW YORK,What provided the initial attractive character of the community eventually contributed to its gentrification and commercialization.
You are helpful assistant that knows a lot of differenet facts about the world,how tall Russian President Dmitry Medvedev,"On 10 December 2007, Medvedev was informally endorsed as a candidate for the forthcoming presidential elections by four political parties : United Russia , Fair Russia , Agrarian Party of Russia and Civilian Power , and was officially endorsed by United Russia on 17 December 2007."
You are helpful assistant that knows a lot of differenet facts about the world,what is customary at shiva,"The ritual is referred to as ""sitting shiva."""
You are helpful assistant that knows a lot of differenet facts about the world,what is the life span of June bugs,"The Figeater beetle (Cotinis mutabilis), of the western and southwestern United States"
You are helpful assistant that knows a lot of differenet facts about the world,who are all of the jonas brothers,"In the summer of 2008 they starred in the Disney Channel Original Movies Camp Rock and in 2010 it's sequel, Camp Rock 2: The Final Jam ."
You are helpful assistant that knows a lot of differenet facts about the world,who is wwe star HHH married to?,Levesque began his wrestling career in the International Wrestling Federation as Terra Ryzing before joining World Championship Wrestling (WCW) in 1994.
You are helpful assistant that knows a lot of differenet facts about the world,how tall is an indoor girls volleyball net,double hit: two consecutive contacts with the ball made by the same player;
You are helpful assistant that knows a lot of differenet facts about the world,how did crater lake get its color,Several species have formed self-sustaining populations.
You are helpful assistant that knows a lot of differenet facts about the world,who did cy young play for,"He also won at least 30 games in a season five times, with ten other seasons of 20 or more wins."
You are helpful assistant that knows a lot of differenet facts about the world,what are some legal uses of meth,"In higher doses, it can induce mania with accompanying euphoria , feelings of self-esteem and increased libido ."
You are helpful assistant that knows a lot of differenet facts about the world,How much did Waterboy grossed,"The portrayal is one of a stereotypical Cajun from the bayous of South Louisiana, not the typical stereotype of a Southerner."
You are helpful assistant that knows a lot of differenet facts about the world,where were the biggest base camps from world war two located,The camp continued to function this way until the war ended.
You are helpful assistant that knows a lot of differenet facts about the world,how much population is a us urban city,World map showing percent of population living in an urban environment.
You are helpful assistant that knows a lot of differenet facts about the world,what is the oath of allegiance of the united states,"The first officially recorded Oaths of Allegiance were made on May 30, 1778 at Valley Forge , during the Revolutionary War ."
You are helpful assistant that knows a lot of differenet facts about the world,how many single people on Valentine's Day,"""Singles Awareness (or Appreciation) Day"" (S.A.D.) is a humorous holiday , celebrated on February 14 (although some prefer the 13th or the 15th to get away from the commercialism associated with the 14th)."
You are helpful assistant that knows a lot of differenet facts about the world,what states allow same sex marriage,Same-sex marriage is legally recognized in several jurisdictions within the United States.
You are helpful assistant that knows a lot of differenet facts about the world,how does a heat pump work,A heat pump is a device that transfers heat energy from a heat source to a heat sink against a temperature gradient.
You are helpful assistant that knows a lot of differenet facts about the world,how thick is 26 gauge wire,"These include Washburn & Moen (or W&M) Wire Gauge, US Steel Wire Gauge, and Music Wire Gauge (see Piano wire )."
You are helpful assistant that knows a lot of differenet facts about the world,how many employees does Chase have,The hedge fund unit of JPMorgan Chase is one of the largest hedge funds in the United States.
You are helpful assistant that knows a lot of differenet facts about the world,who played tracy's dad in hairspray,"USA Network purchased the broadcast rights to Hairspray and was scheduled to debut the film on cable television in February 2010, but in the end it did not broadcast that month, instead the film was pushed back and premiered on USA on July 24, 2010, with sister channel Bravo also showing it multiple times, and in February 2011 aired on ABC for over-the-air broadcasts."
You are helpful assistant that knows a lot of differenet facts about the world,when to use ounces,"For the unit of force, see Pound-force ."
You are helpful assistant that knows a lot of differenet facts about the world,what is the size of the largest cannon ball,"Most modern cannon are similar to those used in the Second World War, although the importance of the larger caliber weapons has declined with the development of missiles ."
You are helpful assistant that knows a lot of differenet facts about the world,how many square miles in great britain,The Kingdom of Great Britain resulted from the political union of the kingdoms of England and Scotland with the Acts of Union 1707 on 1 May 1707 under Queen Anne .
You are helpful assistant that knows a lot of differenet facts about the world,how long did it take to make the blair witch project,The film was produced by the Haxan Films production company.
You are helpful assistant that knows a lot of differenet facts about the world,how is cia headquarters protected,"There has been considerable criticism of the CIA relating to: security and counterintelligence failures, failures in intelligence analysis, human rights concerns, external investigations and document releases, influencing public opinion and law enforcement, drug trafficking, and lying to Congress."
You are helpful assistant that knows a lot of differenet facts about the world,where was martin luther born,He confronted indulgence salesman Johann Tetzel with his Ninety-Five Theses in 1517.
You are helpful assistant that knows a lot of differenet facts about the world,How does Chronic Kidney Disease stage 4 effect Diabetics,Stage 5 CKD is often called End Stage Renal Disease (ESRD) and is synonymous with the now outdated terms chronic kidney failure (CKF) or chronic renal failure (CRF).
You are helpful assistant that knows a lot of differenet facts about the world,where is money made in the united states,"It is also used as the sole currency in two British Overseas Territories , the British Virgin Islands and the Turks and Caicos islands."
You are helpful assistant that knows a lot of differenet facts about the world,HOW MUCH IS CENTAVOS IN MEXICO,The name was originally used in reference to pesos oro (gold weights) or pesos plata (silver weights).
You are helpful assistant that knows a lot of differenet facts about the world,what percent of school shootings commit suicide?,Stress factors such as financial difficulties or troubles with interpersonal relationships often play a role.
You are helpful assistant that knows a lot of differenet facts about the world,who are the members of the climax blues band?,"The Climax Blues Band (originally known as the Climax Chicago Blues Band) were formed in Stafford , England in 1968."
You are helpful assistant that knows a lot of differenet facts about the world,what south american country is a colony,Most of the population lives near the western or eastern coasts of the continent while the interior and the far south are sparsely populated.
You are helpful assistant that knows a lot of differenet facts about the world,What car was used in Ferris Bueller's day off,Hughes wrote the screenplay in less than a week and shot the film—on a budget of $5.8 million—over several months in late 1985.
You are helpful assistant that knows a lot of differenet facts about the world,how old was shakespeare's juliet,"Juliet is one of the title characters in William Shakespeare 's romantic love tragedy Romeo and Juliet , the other being Romeo ."
You are helpful assistant that knows a lot of differenet facts about the world,What are some species related to the mud wasp,"The software package further contains a Climate Analyst for creating the wind-climatological inputs, a Map Editor for creating and editing the topographical inputs, and a Turbine Editor for creating the wind turbine inputs to WAsP."
You are helpful assistant that knows a lot of differenet facts about the world,what is a duvet cover used for,"A duvet, without a cover"
You are helpful assistant that knows a lot of differenet facts about the world,what is customary at shiva,"At the funeral, mourners traditionally rend an outer garment, a ritual known as keriah ."
You are helpful assistant that knows a lot of differenet facts about the world,how is seville,"In 1519, Ferdinand Magellan departed from Seville for the first circumnavigation of the Earth."
You are helpful assistant that knows a lot of differenet facts about the world,what species is a spider,"The main groups of modern spiders, Mygalomorphae and Araneomorphae , first appeared in the Triassic period, before ."
You are helpful assistant that knows a lot of differenet facts about the world,when did spongebob first air,"Hillenburg decided to use the name ""SpongeBob""."
You are helpful assistant that knows a lot of differenet facts about the world,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,The term African in the scope of this article refers to geographical or national origins rather than racial affiliation.
You are helpful assistant that knows a lot of differenet facts about the world,what is rock of ages about,"Rock of Ages is a rock / jukebox musical , with a book by Chris D'Arienzo, built around classic rock hits from the 1980s, especially from the famous glam metal bands of the decade."
You are helpful assistant that knows a lot of differenet facts about the world,how do you get a michelin star?,Reviews of starred restaurants also include two to three culinary specialities.
You are helpful assistant that knows a lot of differenet facts about the world,when was the tacoma bridge collapse?,"After a series of protests and court battles, construction began in 2002 and the new bridge opened to carry eastbound traffic on July 15, 2007, while the 1950 bridge was reconfigured to carry westbound traffic."
You are helpful assistant that knows a lot of differenet facts about the world,when does the royal standard fly?,"Different standards are used in the Queen's other Commonwealth realms , and the Royal Standard of the United Kingdom is varied for use in Scotland ."
You are helpful assistant that knows a lot of differenet facts about the world,what did tycho brahe do,"Tycho Brahe (14 December 154624 October 1601), born Tyge Ottesen Brahe, was a Danish nobleman known for his accurate and comprehensive astronomical and planetary observations."
You are helpful assistant that knows a lot of differenet facts about the world,what was the role of rio grande valley in the mexican american war and american civil war,Confederate forces seized numerous federal forts within territory claimed by the Confederacy.
You are helpful assistant that knows a lot of differenet facts about the world,when did qing dynasty begin,It was preceded by the Ming Dynasty and succeeded by the Republic of China .
You are helpful assistant that knows a lot of differenet facts about the world,Where does the word baptism come from,"Most Christians baptize ""in the name of the Father , and of the Son , and of the Holy Spirit "" (following the Great Commission ), but some baptize in Jesus' name only ."
You are helpful assistant that knows a lot of differenet facts about the world,how many ribs does adam have,Eve is later created to be Adam's companion.
You are helpful assistant that knows a lot of differenet facts about the world,What was Frederick Douglass's wife's name,Many Northerners also found it hard to believe that such a great orator had been a slave.
You are helpful assistant that knows a lot of differenet facts about the world,how does interlibrary loan work,"Interlibrary loan (abbreviated ILL, and sometimes called interloan, document delivery, or document supply) is a service whereby a user of one library can borrow books or receive photocopies of documents that are owned by another library."
You are helpful assistant that knows a lot of differenet facts about the world,How Rich Is Donald Trump,He was given control of the company in 1971 and renamed it The Trump Organization.
You are helpful assistant that knows a lot of differenet facts about the world,what religion is primary in africa?,"Religion in Africa is multifaceted and has been a major influence on art , culture and philosophy ."
You are helpful assistant that knows a lot of differenet facts about the world,who is hannibal lecter and what did he do,"The film's development drew a large amount of attention, with The Silence of the Lambs director Jonathan Demme , screenwriter Ted Tally and actress Jodie Foster all eventually declining involvement."
You are helpful assistant that knows a lot of differenet facts about the world,when did 311 make Amber,"As of 2011, 311 has sold over 8.5 million records in the US."
You are helpful assistant that knows a lot of differenet facts about the world,what is the size of an oil platform,"An oil platform, (offshore platform or colloquially oil rig) is a large structure with facilities to drill wells, to extract and process oil and natural gas , and to temporarily store product until it can be brought to shore for refining and marketing."
You are helpful assistant that knows a lot of differenet facts about the world,how many members in a team debate?,"Although informal debate is a common occurrence, the quality and depth of a debate improves with knowledge and skill of its participants as debaters."
You are helpful assistant that knows a lot of differenet facts about the world,how can i open a usda slaughterhouse,Slaughtering animals is opposed by animal rights groups on ethical grounds.
You are helpful assistant that knows a lot of differenet facts about the world,where did jefferson davis die,"During his presidency, Davis took charge of the Confederate war plans but was unable to find a strategy to stop the larger, more powerful and better organized Union ."
You are helpful assistant that knows a lot of differenet facts about the world,when was pokemon first started,"The franchise celebrated in 2006, and , cumulative sales of the video games (including home console versions, such as the ""Pikachu"" Nintendo 64 ) have reached more than 200 million copies."
You are helpful assistant that knows a lot of differenet facts about the world,what is the measurements of saturn's moons,The regular satellites are traditionally named after Titans and Titanesses or other figures associated with the mythological Saturn .
You are helpful assistant that knows a lot of differenet facts about the world,what are points on a mortgage,"By charging a borrower points, a lender effectively increases the yield on the loan above the amount of the stated interest rate ."
You are helpful assistant that knows a lot of differenet facts about the world,how is whooping cough distinguished from similar diseases,"In some countries, this disease is called the 100 days' cough or cough of 100 days."
You are helpful assistant that knows a lot of differenet facts about the world,what makes of the united states,"After 1500, Old World diseases introduced by Europeans greatly reduced their populations."
You are helpful assistant that knows a lot of differenet facts about the world,where was last of the mohicans filmed,"Released on September 25, 1992, in the United States, The Last of the Mohicans was met with nearly-universal praise from critics as well as being commercially successful during its box-office run."
You are helpful assistant that knows a lot of differenet facts about the world,Who is the home team in Super Bowl XLV,"It is the second-largest day for U.S. food consumption, after Thanksgiving Day ."
You are helpful assistant that knows a lot of differenet facts about the world,when does social security tax stop,This has caused some to claim that the payroll tax is not a tax because its collection is tied to a benefit.
You are helpful assistant that knows a lot of differenet facts about the world,what does righteousness mean,"Righteousness (also called rectitude) is an important theological concept in Christianity , Judaism , Islam , Hinduism (dharma), and Zoroastrianism ."
You are helpful assistant that knows a lot of differenet facts about the world,how is jerky made,"There are many products in the marketplace which are sold as jerky which consist of highly processed, chopped and formed meat, rather than traditional sliced, whole-muscle meat."
You are helpful assistant that knows a lot of differenet facts about the world,what is the life span of June bugs,"""Junebug"", by Robert Francis"
You are helpful assistant that knows a lot of differenet facts about the world,who is the new bell what is the only european,"The prizes in Physics , Chemistry , Physiology or Medicine , Literature , and Peace were first awarded in 1901."
You are helpful assistant that knows a lot of differenet facts about the world,what is google openid,"The OpenID standard provides a framework for the communication that must take place between the identity provider and the OpenID acceptor (the ""relying party"")."
You are helpful assistant that knows a lot of differenet facts about the world,how many digits long is visa,"An ISO/IEC 7812 card number is typically 16 digits in length, and consists of:"
You are helpful assistant that knows a lot of differenet facts about the world,how has caribbean society and culture been shaped by colonial experiences?,"In the 19th century, the term developed to refer first to the betterment or refinement of the individual, especially through education , and then to the fulfillment of national aspirations or ideals ."
